sample_name,multiplet,scaling_factor,auc_template_fitted,auc_target,normxcorr,conc
pro_std_10_r1,multiplet_0,0.020916864350546505,17807077477.45034,9458069008725.332,0.3628926998558583,10.208
pro_std_10_r1,multiplet_1,0.1829387148693822,52147679669.15425,2014811039061.3333,0.9681986701826643,10.208
pro_std_10_r1,multiplet_2,0.024681918082409826,14315330430.810638,13156613909504.0,0.48141832887226144,10.208
pro_std_10_r1,multiplet_3,0.11573650073135332,28160124024.808453,3911624712192.0,0.8161149193595358,10.208
pro_std_02_r1,multiplet_0,0.0183042025235364,15582849658.392445,14645122732373.332,0.467565558269732,2041.6
pro_std_02_r1,multiplet_1,0.09499075419108623,27077633209.706085,3676222510080.0,0.9694139781984094,2041.6
pro_std_02_r1,multiplet_2,0.02136632192593611,12392309116.31753,16730227834538.666,0.5549397398148112,2041.6
pro_std_02_r1,multiplet_3,0.07867431577286481,19142435409.148655,5656728008362.666,0.8591736290314462,2041.6
pro_std_10_r2,multiplet_0,0.020772170761930914,17683896014.885624,9522030515200.0,0.3617691775464769,10.208
pro_std_10_r2,multiplet_1,0.18361347221521507,52340022935.31321,2015834777941.3333,0.9681436887615752,10.208
pro_std_10_r2,multiplet_2,0.02408240487959347,13967617195.263271,13171502341120.0,0.4807157788332804,10.208
pro_std_10_r2,multiplet_3,0.11549138339104481,28100483940.132473,3952005135018.6665,0.8103575719821078,10.208
pro_std_02_r2,multiplet_0,0.019340071677009747,16464712348.863968,14601361498794.666,0.4795837692165149,2041.6
pro_std_02_r2,multiplet_1,0.097377053393757,27757860828.580982,3656782278656.0,0.9675910017615943,2041.6
pro_std_02_r2,multiplet_2,0.02274933232888931,13194444948.768625,16771068667562.666,0.564594867927858,2041.6
pro_std_02_r2,multiplet_3,0.08138775812528105,19802649539.482296,5617318634154.666,0.8254927953337035,2041.6
pro_std_06_r1,multiplet_0,0.020714002194932735,17634375581.902473,10166660072789.332,0.38050660570968403,306.24
pro_std_06_r1,multiplet_1,0.1658212855583589,47268262968.82389,2227581289472.0,0.9674487304882835,306.24
pro_std_06_r1,multiplet_2,0.02394032795236724,13885213625.449661,13505059196928.0,0.4920331610365357,306.24
pro_std_06_r1,multiplet_3,0.11023072987795407,26820501787.18971,4187560682496.0,0.8210399767137181,306.24
pro_std_06_r2,multiplet_0,0.01973320149002207,16799394111.94683,10142608845482.666,0.37355041605177974,306.24
pro_std_06_r2,multiplet_1,0.1632911161590236,46547024364.74034,2224115247786.6665,0.9687985405937403,306.24
pro_std_06_r2,multiplet_2,0.022798957186465303,13223227000.123402,13544813753344.0,0.4879029790479888,306.24
pro_std_06_r2,multiplet_3,0.10820690864115237,26328081015.24444,4157698698240.0,0.8396235981713336,306.24
pro_std_08_r2,multiplet_0,0.020927976787496232,17816537787.677094,9493919737173.332,0.3606884087354045,51.04
pro_std_08_r2,multiplet_1,0.1822152007301453,51941438012.783325,2031798641322.6665,0.9683023460114744,51.04
pro_std_08_r2,multiplet_2,0.02443899518724588,14174436943.445917,13134284737877.332,0.48003725907828154,51.04
pro_std_08_r2,multiplet_3,0.1170882273562479,28489015853.783154,3908991221418.6665,0.8451519676605286,51.04
pro_std_04_r2,multiplet_0,0.01828149583057795,15563518852.685078,11515780154026.666,0.40525995060195913,816.64
pro_std_04_r2,multiplet_1,0.13404126715061113,38209195176.6929,2653848208384.0,0.9690758550882699,816.64
pro_std_04_r2,multiplet_2,0.021236112134374048,12316788397.65562,14554084653738.666,0.5081924385835832,816.64
pro_std_04_r2,multiplet_3,0.09735455271944873,23687568413.03692,4598398917632.0,0.8012229919916027,816.64
pro_std_08_r1,multiplet_0,0.021924019288646207,18664495000.171402,9506389523114.666,0.3630603418530501,51.04
pro_std_08_r1,multiplet_1,0.18399221094211216,52447984477.63975,2026086494890.6665,0.9678304212491757,51.04
pro_std_08_r1,multiplet_2,0.025328770455600582,14690500035.995373,13171061274624.0,0.48190810193751393,51.04
pro_std_08_r1,multiplet_3,0.1175107910749973,28591830840.007668,3930672384000.0,0.8413880662592115,51.04
pro_std_04_r1,multiplet_0,0.01781482856004924,15166232715.373682,11566319787008.0,0.401684781095411,816.64
pro_std_04_r1,multiplet_1,0.1324214961823414,37747470616.90775,2664893608618.6665,0.9699237994710775,816.64
pro_std_04_r1,multiplet_2,0.02068741225555912,11998546515.223503,14634007814144.0,0.5044044170659108,816.64
pro_std_04_r1,multiplet_3,0.09624184868582766,23416833740.814484,4625086823082.666,0.8055536815277585,816.64
pro_std_01_r1,multiplet_0,0.019229839920185173,16370869151.272097,22609509785600.0,0.5826426063297285,5104.0
pro_std_01_r1,multiplet_1,0.0568824221444762,16214645057.027277,6257714241194.666,0.9663800914115829,5104.0
pro_std_01_r1,multiplet_2,0.022558248740329422,13083617876.8609,22199878834176.0,0.6665853598256409,5104.0
pro_std_01_r1,multiplet_3,0.05728952707071264,13939251467.249928,8391072748544.0,0.8391320706336843,5104.0
pro_std_01_r2,multiplet_0,0.017507247436390656,14904380804.504137,22409218265770.664,0.5681796198497128,5104.0
pro_std_01_r2,multiplet_1,0.05512351023702987,15713257612.706036,6202442369024.0,0.9696174607924734,5104.0
pro_std_01_r2,multiplet_2,0.020426857911471412,11847426917.534824,21991239306922.664,0.6397467495445193,5104.0
pro_std_01_r2,multiplet_3,0.05399963379884826,13138779688.868378,8246950037845.333,0.8621894774482107,5104.0
pro_std_11_r2,multiplet_0,0.021771864700657485,18534961792.351276,9510541023232.0,0.3637432715989475,0.0
pro_std_11_r2,multiplet_1,0.1868420174136827,53260337374.644905,2009810584576.0,0.9670262687260585,0.0
pro_std_11_r2,multiplet_2,0.025190878452509433,14610523691.311571,13147034463232.0,0.48193940307285416,0.0
pro_std_11_r2,multiplet_3,0.11728250992135665,28536287208.0642,3955000077994.6665,0.8264209539167297,0.0
pro_std_03_r2,multiplet_0,0.018105441731203306,15413639361.416824,12195651469994.666,0.4186288497749205,1020.8
pro_std_03_r2,multiplet_1,0.1237554382898319,35277163490.85411,2863202102613.333,0.9690193277557264,1020.8
pro_std_03_r2,multiplet_2,0.02109791449011275,12236634783.347582,15176278752256.0,0.516853189179308,1020.8
pro_std_03_r2,multiplet_3,0.09260485505460728,22531908146.162746,4835553584810.666,0.8079575704854746,1020.8
pro_std_11_r1,multiplet_0,0.0207850157935321,17694831328.567886,9452099974144.0,0.35917870715827455,0.0
pro_std_11_r1,multiplet_1,0.18392680052016472,52429338879.66901,2007667403776.0,0.9684696817545553,0.0
pro_std_11_r1,multiplet_2,0.02422946093447261,14052908622.38889,13145555552938.666,0.47953479995601916,0.0
pro_std_11_r1,multiplet_3,0.11501078436644073,27983548245.226105,3928489567232.0,0.8289764905743748,0.0
pro_std_03_r1,multiplet_0,0.01804325101389884,15360694765.952639,12172993691989.332,0.4190496010293105,1020.8
pro_std_03_r1,multiplet_1,0.12325076610701526,35133303929.2176,2859565396992.0,0.9692768644934501,1020.8
pro_std_03_r1,multiplet_2,0.021178963690141328,12283642721.534883,15158564233557.332,0.5168822153024301,1020.8
pro_std_03_r1,multiplet_3,0.0930335292746973,22636209893.042004,4816036557482.666,0.807402672398749,1020.8
pro_std_07_r2,multiplet_0,0.01967107589148453,16746504953.803871,9773634665130.666,0.3630737441293011,127.6
pro_std_07_r2,multiplet_1,0.17376779004899168,49533457468.32002,2105242746880.0,0.9691713915872353,127.6
pro_std_07_r2,multiplet_2,0.022937579944646423,13303627177.369242,13365251234816.0,0.4805514522014477,127.6
pro_std_07_r2,multiplet_3,0.11164090584338164,27163615064.611332,4028416430762.6665,0.8387067341225761,127.6
pro_std_07_r1,multiplet_0,0.022412016120204714,19079939554.511864,9767127148544.0,0.3749393749560985,127.6
pro_std_07_r1,multiplet_1,0.18058105558320958,51475616014.87461,2099613554005.3333,0.9657945810080543,127.6
pro_std_07_r1,multiplet_2,0.025924046376767075,15035755679.440552,13283990943402.666,0.4874985703764435,127.6
pro_std_07_r1,multiplet_3,0.11665015141456402,28382426551.59976,4046419670016.0,0.8362588601822677,127.6
pro_std_09_r1,multiplet_0,0.02109417256850562,17958024632.897377,9418492370944.0,0.35918401279947465,25.52
pro_std_09_r1,multiplet_1,0.18404411889262337,52462781122.39301,2009760384341.3333,0.9682663991122098,25.52
pro_std_09_r1,multiplet_2,0.02471861730928543,14336615711.70029,13089104483669.332,0.47937312501981905,25.52
pro_std_09_r1,multiplet_3,0.11813979467501803,28744875206.103973,3902390420821.333,0.8449313141568359,25.52
pro_std_05_r1,multiplet_0,0.02066699605475092,17594358016.836052,10671762066432.0,0.3952592442210131,510.4
pro_std_05_r1,multiplet_1,0.15284869737924187,43570355867.38031,2391388865536.0,0.9678907260202384,510.4
pro_std_05_r1,multiplet_2,0.02400191336713973,13920932711.755802,13968806787072.0,0.5028310368129746,510.4
pro_std_05_r1,multiplet_3,0.10597780577255224,25785712679.86906,4332528647168.0,0.800423896722101,510.4
pro_std_09_r2,multiplet_0,0.022644881474747657,19278183963.45702,9550216933717.332,0.3659603076289496,25.52
pro_std_09_r2,multiplet_1,0.18609971425001712,53048739804.25708,2027289741653.3333,0.9666029544226623,25.52
pro_std_09_r2,multiplet_2,0.026244702906454045,15221734101.455387,13184088558250.666,0.4838759143639232,25.52
pro_std_09_r2,multiplet_3,0.1179951251885848,28709675328.322796,3974501058218.6665,0.8372364972597469,25.52
pro_std_05_r2,multiplet_0,0.02122578692755081,18070071402.880924,10739479562581.332,0.3980085684341005,510.4
pro_std_05_r2,multiplet_1,0.15305542483819906,43629284658.45778,2405093608106.6665,0.9671305757782488,510.4
pro_std_05_r2,multiplet_2,0.02465809132979071,14301511090.040726,13979576399189.332,0.5055574175215791,510.4
pro_std_05_r2,multiplet_3,0.10648335868117816,25908719963.811863,4349512631296.0,0.7952281792007665,510.4
